sim_id,scenario_id,start_date,SPX_Return,SPX_Volatility,Card1_Active,Card2_Active,Card3_Active,Card4_Active,Card5_Active,Card6_Active,Card7_Active,Card8_Active,Card9_Active,Card10_Active,Card11_Active,Final_Return
1,lehman,2008-08-28,-35.3999,3.8391,0,1,0,0,1,1,0,0,0,0,1,1.3
2,lehman,2008-02-02,-4.262,1.2864,0,0,0,0,0,1,1,0,1,0,1,5.35
3,lehman,2008-07-24,-29.7643,3.7279,0,0,0,0,0,0,1,1,1,0,1,-13.7
4,lehman,2007-10-11,-14.199,1.3164,1,0,1,0,0,0,0,0,0,1,1,-3.2
5,lehman,2008-07-23,-31.8674,3.732,0,0,0,1,0,1,0,0,1,1,0,-16.77
6,lehman,2008-09-23,-30.4136,3.7675,0,1,1,1,0,0,0,0,0,0,1,-16.1
7,lehman,2009-03-25,23.3708,1.554,1,0,1,0,0,0,1,0,0,0,1,14.59
8,lehman,2007-10-01,-12.5356,1.2845,1,0,0,0,1,0,0,0,1,1,0,-2.29
9,lehman,2008-05-20,-35.6219,2.1664,0,1,1,0,1,0,0,0,0,0,1,-4.51
10,lehman,2007-10-29,-12.4012,1.4943,1,0,1,1,0,0,1,0,0,0,0,-2.92
11,lehman,2008-03-03,-3.6918,1.3054,1,0,0,0,0,0,1,1,1,0,0,-2.29
12,lehman,2009-05-12,13.3759,1.2508,0,0,0,0,0,1,1,1,1,0,0,-0.39
13,lehman,2009-04-28,24.5954,1.3116,0,1,0,1,1,0,0,1,0,0,0,11.48
14,lehman,2008-03-02,-3.6918,1.3054,0,1,1,1,1,0,0,0,0,0,0,3.47
15,lehman,2009-02-02,9.1466,2.1786,1,0,1,0,0,1,1,0,0,0,0,12.55
16,lehman,2009-01-07,3.9949,2.3542,1,0,0,0,0,0,1,1,1,0,0,5.37
17,lehman,2007-11-06,-9.8726,1.5147,1,0,1,1,0,0,0,0,0,0,1,-1.11
18,lehman,2009-03-07,44.1399,1.8862,0,0,1,1,1,0,0,0,1,0,0,9.02
19,lehman,2008-04-26,-17.186,1.4282,1,0,0,1,0,0,0,0,1,0,1,-11.62
20,lehman,2008-11-29,6.1283,2.4885,1,0,0,1,0,0,1,0,1,0,0,9.54
21,lehman,2007-10-19,-12.3382,1.3743,0,0,0,1,0,1,1,0,0,0,1,-8.4
22,lehman,2008-12-20,1.2907,2.3457,0,1,0,0,1,0,0,1,1,0,0,6.32
23,lehman,2008-06-06,-37.6106,2.7926,1,0,0,1,0,0,1,0,1,0,0,-26.93
24,lehman,2008-02-29,-4.0304,1.3047,0,0,0,0,1,1,0,0,1,1,0,-2.19
25,lehman,2008-12-17,0.4345,2.3421,0,0,1,1,0,0,0,0,1,0,1,16.01
26,lehman,2008-09-30,-36.2692,3.6564,0,1,1,0,1,0,0,0,1,0,0,-23.01
27,lehman,2007-11-07,-7.3251,1.4872,1,0,0,0,1,0,1,0,0,0,1,-6.26
28,lehman,2008-04-13,-4.0156,1.1916,0,0,0,1,0,1,1,0,0,0,1,-3.65
29,lehman,2007-09-13,-9.9269,1.3008,1,0,0,1,0,0,0,1,1,0,0,-10.48
30,lehman,2008-11-27,-4.9451,2.6415,0,1,0,1,0,0,1,0,1,0,0,-6.08
31,lehman,2007-10-28,-12.4012,1.4943,1,0,0,1,0,0,0,0,1,0,1,-3.72
32,lehman,2008-12-14,6.9839,2.3888,1,0,0,0,0,0,1,1,0,1,0,-12.23
33,lehman,2008-12-20,1.2907,2.3457,0,0,1,0,1,0,0,1,0,1,0,-1.54
34,lehman,2008-11-27,-4.9451,2.6415,0,0,0,1,0,1,0,1,0,1,0,0.77
35,lehman,2009-04-16,17.4622,1.4062,0,1,0,0,0,0,1,1,0,1,0,-0.63
36,lehman,2009-03-25,23.3708,1.554,0,1,1,0,1,0,1,0,0,0,0,15.33
37,lehman,2008-08-14,-27.7068,3.7611,0,0,0,1,1,0,1,0,0,0,1,-13.44
38,lehman,2009-03-05,43.8986,1.8885,1,0,0,1,0,0,1,0,0,0,1,21.06
39,lehman,2008-09-18,-31.4419,3.8085,0,0,1,0,0,1,0,1,1,0,0,-2.56
40,lehman,2008-04-21,-11.2472,1.2559,0,1,0,1,0,1,0,0,0,0,1,-9.42
41,lehman,2009-04-01,26.514,1.5036,0,0,0,1,0,0,1,1,0,0,1,11.32
42,lehman,2009-02-27,29.8589,2.0103,1,0,1,0,0,1,0,1,0,0,0,9.07
43,lehman,2008-11-03,-15.5604,3.1319,0,0,1,0,0,0,0,1,0,1,1,-6.49
44,lehman,2008-04-26,-17.186,1.4282,0,0,0,0,1,1,0,1,1,0,0,-8.81
45,lehman,2009-02-10,8.3732,2.1268,1,0,0,1,0,0,0,0,1,1,0,-1.38
46,lehman,2008-08-29,-35.4942,3.8395,0,0,0,0,1,1,1,1,0,0,0,-11.82
47,lehman,2008-02-29,-4.0304,1.3047,1,0,0,0,0,1,0,0,0,1,1,-3.86
48,lehman,2008-05-16,-30.1063,2.0405,0,1,1,0,0,0,1,0,0,1,0,6.12
49,lehman,2008-12-12,3.1441,2.3811,1,0,0,0,0,1,0,0,0,1,1,6.37
50,lehman,2008-08-04,-30.8925,3.7578,0,0,1,0,1,0,0,0,1,1,0,-10.26
51,lehman,2008-09-22,-30.8096,3.769,1,0,0,0,1,1,1,0,0,0,0,-4.31
52,lehman,2007-10-22,-14.4849,1.3872,0,1,0,0,0,1,1,0,0,0,1,15.92
