sim_id,scenario_id,start_date,SPX_Return,SPX_Volatility,Card1_Round1,Card1_Round25,Card1_Round50,Card1_Round75,Card2_Round1,Card2_Round25,Card2_Round50,Card2_Round75,Card3_Round1,Card3_Round25,Card3_Round50,Card3_Round75,Card4_Round1,Card4_Round25,Card4_Round50,Card4_Round75,Card5_Round1,Card5_Round25,Card5_Round50,Card5_Round75,Card6_Round1,Card6_Round25,Card6_Round50,Card6_Round75,Card7_Round1,Card7_Round25,Card7_Round50,Card7_Round75,Card8_Round1,Card8_Round25,Card8_Round50,Card8_Round75,Card9_Round1,Card9_Round25,Card9_Round50,Card9_Round75,Card10_Round1,Card10_Round25,Card10_Round50,Card10_Round75,Card11_Round1,Card11_Round25,Card11_Round50,Card11_Round75,Final_Return
1,lehman,2007-09-11,-5.1696,1.2618,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.6
2,lehman,2008-07-01,-37.2267,3.3375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-7.87
3,lehman,2008-09-01,-34.8808,3.8406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7.22
4,lehman,2008-08-22,-34.7918,3.7861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-21.03
5,lehman,2008-04-16,-8.9689,1.2049,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-9.25
6,lehman,2008-11-01,-15.5604,3.1319,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86
7,lehman,2008-06-01,-31.0767,2.72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-25.64
8,lehman,2008-01-24,0.5969,1.311,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36
9,lehman,2008-03-13,-5.0529,1.2928,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.02
10,lehman,2009-02-18,11.5053,2.0816,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.84
